,Axis Gold,Axis Short Duration,WhiteOak Capital Arbitrage,Nippon India Large Cap,Bandhan Small Cap
2024-09-10,23.1363,31.3214,10.013,99.2319,51.28
2024-09-11,23.2779,31.342,10.015,98.7724,51.172
2024-09-12,23.2667,31.3555,10.017,100.2373,51.628
2024-09-13,23.6147,31.3769,10.018,100.089,51.997
2024-09-16,23.7904,31.4129,10.023,100.114,52.291
2024-09-17,23.6971,31.4089,10.025,100.0653,52.385
2024-09-18,23.7083,31.4089,10.027,99.968,52.153
2024-09-19,23.8201,31.4375,10.029,99.8842,51.518
2024-09-20,23.9242,31.4461,10.031,100.9598,52.141
2024-09-23,24.0617,31.464,10.036,101.6433,52.637
2024-09-24,24.158,31.4741,10.027,101.7456,52.708
2024-09-25,24.3645,31.4964,10.037,102.0413,52.576
2024-09-26,24.4425,31.5209,10.036,102.6658,52.385
2024-09-27,24.3943,31.5105,10.024,102.7061,52.302
2024-09-30,24.3832,31.5342,10.031,101.4475,52.368
2024-10-01,24.3907,31.5567,10.033,101.4323,52.525
2024-10-03,24.4454,31.5498,10.026,99.4889,51.612
2024-10-04,24.523,31.5305,10.045,98.7097,51.211
2024-10-07,24.4464,31.538,10.041,97.3987,49.815
2024-10-08,24.2946,31.561,10.055,98.6381,50.936
2024-10-09,24.1222,31.6016,10.061,98.9923,51.43
2024-10-10,24.1485,31.6072,10.06,99.2685,51.616
2024-10-11,24.3889,31.6222,10.067,99.139,51.841
2024-10-14,24.5238,31.6477,10.067,99.6839,51.867
2024-10-15,24.4181,31.6577,10.074,99.6355,52.488
2024-10-16,24.6732,31.6572,10.067,99.5525,52.611
2024-10-17,24.688,31.6583,10.069,98.6003,51.852
2024-10-18,24.9241,31.6484,10.068,98.9248,51.759
2024-10-21,25.1787,31.6511,10.086,98.4247,51.076
2024-10-22,25.1467,31.6485,10.082,96.8263,49.449
2024-10-23,25.3359,31.6717,10.082,96.7928,49.865
2024-10-24,25.169,31.6799,10.082,96.5901,49.301
2024-10-25,25.053,31.6768,10.091,95.6705,48.08
2024-10-28,25.1651,31.6814,10.094,96.0172,48.914
2024-10-29,25.4283,31.6963,10.097,96.8881,49.227
2024-10-30,25.6331,31.7064,10.091,96.533,49.888
2024-10-31,25.586,31.7061,10.091,96.3789,50.42
2024-11-04,25.2072,31.7303,10.105,95.6366,50.225
2024-11-05,25.2182,31.7357,10.115,96.3891,50.566
2024-11-06,25.2113,31.7389,10.11,97.5614,51.552
2024-11-07,24.6007,31.7515,10.112,96.8112,51.092
2024-11-08,24.9108,31.7739,10.122,96.4406,50.281
2024-11-11,24.6719,31.79,10.121,96.5738,49.876
2024-11-12,24.0275,31.793,10.13,95.3799,49.186
2024-11-13,24.1838,31.7925,10.126,93.9405,47.832
